Ime igralca;Minut/tekmo;Točke;Skoki;Podaje;FG%;FG3%;FT%
Jarrod Uthoff;11,8;5,0;5,5;0,0;0,5;0,25;0,0
Jason Preston;11,5;3,8;1,9;2,5;0,426;0,3;0,667
Javante McCoy;19,8;10,3;2,7;2,0;0,5;0,25;0,917
Javin DeLaurier;13,3;2,7;4,7;1,0;0,8;0,0;0,0
Javon Freeman-Liberty;15,2;6,6;2,0;1,8;0,387;0,4;0,625
Javonte Green;15,0;5,2;2,8;0,7;0,565;0,371;0,667
Javonte Smart;27,1;14,2;3,8;3,0;0,3;0,195;0,85
Jaxson Hayes;13,0;5,0;2,8;0,7;0,551;0,103;0,699
Jay Huff;13,6;7,3;3,0;1,4;0,6;0,5;0,938
Jay Huff;18,4;10,5;4,8;1,8;0,577;0,5;0,727
Jay Scrubb;27,1;14,8;4,6;1,6;0,393;0,294;0,84
Jay Scrubb;15,1;6,5;3,0;0,5;0,714;1,0;0,5
Jaylen Brown;35,9;26,6;6,9;3,5;0,491;0,335;0,765
Jaylen Nowell;19,3;10,8;2,6;2,0;0,448;0,289;0,778
Jaylen Sims;13,6;4,0;3,0;1,0;0,444;0,0;0,0
Jaylin Williams;18,6;5,6;5,0;1,7;0,409;0,387;0,703
Jayson Tatum;36,9;30,1;8,8;4,6;0,466;0,35;0,854
Jean Montero;14,6;5,4;1,4;0,8;0,444;0,154;0,5
Jeenathan Williams;12,8;5,6;3,6;1,0;0,474;0,5;0,615
Jeff Dowtin Jr,;12,8;4,3;1,3;1,7;0,495;0,333;0,818
Jeff Green;19,5;7,8;2,6;1,2;0,488;0,288;0,744
Jehyve Floyd;8,8;2,0;3,0;1,0;0,5;0,0;0,0
Jerami Grant;35,6;20,5;4,5;2,4;0,475;0,401;0,813
Jeremiah Robinson-Earl;19,2;7,2;4,6;1,0;0,466;0,32;0,824
Jeremiah Tilmon;9,0;3,3;1,0;0,0;0,8;0,0;0,5
Jeremy Sochan;26,0;11,0;5,3;2,5;0,453;0,246;0,698
Jeriah Horne;13,4;6,7;2,8;0,8;0,471;0,294;0,75
Jericho Sims;16,6;4,1;5,0;0,6;0,781;0,0;0,537
Jermaine Samuels Jr,;9,6;4,7;2,3;1,0;0,8;0,0;1,0
Jerrick Harding;22,8;13,8;3,2;4,0;0,5;0,364;0,778
Jevon Carter;22,4;8,0;2,5;2,4;0,423;0,421;0,816
Jimmy Boeheim;12,5;3,7;1,3;1,0;0,455;0,0;0,5
Jimmy Butler III;33,4;22,9;5,9;5,3;0,539;0,35;0,85
Jo Lual-Acuil Jr,;13,4;6,0;4,8;0,4;0,667;0,0;0,714
Jock Landale;14,2;6,6;4,1;1,0;0,528;0,25;0,752
Joe Harris;20,6;7,6;2,2;1,4;0,457;0,426;0,643
Joe Ingles;22,7;6,9;2,8;3,3;0,435;0,409;0,857
Joe Wieskamp;5,5;1,0;0,4;0,3;0,214;0,25;0,0
Joel Ayayi;20,9;5,2;5,8;2,4;0,407;0,222;1,0
Joel Embiid;34,6;33,1;10,2;4,2;0,548;0,33;0,857
Joel Ntambwe;6,7;0,0;2,0;0,0;0,0;0,0;0,0
John Butler Jr,;11,6;2,4;0,9;0,6;0,321;0,229;0,75
John Butler Jr,;16,7;8,5;3,8;0,0;0,75;0,667;0,571
John Collins;30,0;13,1;6,5;1,2;0,508;0,292;0,803
John Konchar;20,7;5,1;4,3;1,4;0,431;0,339;0,778
John Petty Jr,;24,0;7,2;5,2;2,6;0,293;0,37;0,5
John Wall;22,2;11,4;2,7;5,2;0,407;0,303;0,681
Johnny Davis;16,0;6,1;2,5;1,1;0,37;0,253;0,606
Johnny Juzang;15,3;5,7;2,7;0,5;0,313;0,266;0,733
Jonas Valančiūnas;24,9;14,1;10,2;1,8;0,547;0,349;0,826
Jonathan Isaac;11,3;5,0;4,0;0,5;0,415;0,4;0,556
Jonathan Kuminga;21,1;10,5;3,5;1,9;0,511;0,345;0,616
Jontay Porter;10,2;4,0;2,5;0,8;0,375;0,4;0,0
Jordan Bone;10,8;3,2;1,4;2,2;0,313;0,286;0,8
Jordan Clarkson;32,6;20,8;4,0;4,4;0,444;0,338;0,816
Jordan Goodwin;17,8;6,8;3,4;2,7;0,447;0,333;0,776
Jordan Hall;10,9;3,4;1,6;1,4;0,302;0,212;0,727
Jordan McLaughlin;15,8;3,7;1,4;3,4;0,421;0,308;0,833
Jordan Nwora;19,2;8,7;3,7;1,4;0,436;0,408;0,791
Jordan Poole;30,0;20,4;2,7;4,5;0,43;0,336;0,87
Jordan Schakel;14,7;9,4;2,3;1,0;0,447;0,375;1,0
Jordan Tucker;5,7;1,5;0,3;0,3;0,167;0,2;0,75
Jordan Usher;17,8;3,0;2,6;1,4;0,35;0,167;0,0
Jose Alvarado;21,5;9,0;2,3;3,0;0,411;0,336;0,813
Josh Carlton;16,8;8,0;7,3;1,0;0,545;0,0;0,727
Josh Christopher;12,9;6,4;1,3;1,2;0,456;0,227;0,774
Josh Giddey;30,9;16,3;7,8;6,3;0,478;0,31;0,725
Josh Gray;9,2;0,0;1,0;0,0;0,0;0,0;0,0
Josh Green;25,7;9,1;3,0;1,7;0,537;0,402;0,723
Josh Hall;6,9;2,0;0,8;0,3;0,375;0,25;0,5
Josh Hart;32,3;9,8;7,8;3,8;0,529;0,372;0,75
Josh Minott;11,5;5,4;3,4;0,7;0,427;0,389;0,783
Josh Okogie;18,8;7,3;3,5;1,5;0,391;0,335;0,724
Josh Richardson;23,5;10,1;2,7;2,7;0,431;0,365;0,852
Joshua Primo;25,3;9,7;3,0;4,5;0,34;0,375;0,65
Jrue Holiday;32,6;19,3;5,1;7,4;0,479;0,384;0,859
Juan Toscano-Anderson;13,5;3,0;2,4;1,3;0,448;0,186;0,792
Juancho Hernangomez;14,6;2,9;2,9;0,6;0,421;0,254;0,563
Juhann Begarin;31,1;18,2;5,6;2,4;0,427;0,333;0,769
Jules Bernard;13,1;9,2;3,4;1,4;0,375;0,294;0,944
Julian Champagnie;18,8;9,7;3,5;0,6;0,454;0,402;0,824
Julian Champagnie;16,7;3,7;4,3;0,7;0,227;0,125;0,5
Julius Randle;35,5;25,1;10,0;4,1;0,459;0,343;0,757
Justin Bean;12,2;2,0;3,5;0,3;0,308;0,0;0,0
Justin Champagnie;6,9;2,2;1,6;0,8;0,333;0,2;0,0
Justin Gorham;15,2;6,0;4,5;0,5;0,45;0,273;0,75
Justin Holiday;15,4;4,5;1,2;0,9;0,377;0,322;0,625
Justin Jackson;7,6;2,7;1,1;0,7;0,366;0,292;0,667
Justin Jackson;24,9;10,0;4,0;2,0;0,25;0,25;1,0
Justin James;18,0;13,0;3,6;0,4;0,478;0,333;0,833
Justin Lewis;22,5;7,0;4,4;1,2;0,457;0,0;0,429
Justin Minaya;22,2;4,3;3,8;1,0;0,304;0,25;0,0
Justin Minaya;9,8;4,3;1,3;0,3;0,5;0,333;1,0
Justin Robinson;20,8;10,2;2,2;3,3;0,4;0,346;0,8
Justin Smith;15,0;5,0;4,4;1,2;0,571;0,0;0,25
Justin Tillman;22,1;11,5;3,5;0,5;0,538;0,0;0,8
Justin Turner;12,7;4,3;0,3;0,3;0,455;0,25;0,667
Justin Wright-Foreman;9,7;6,0;0,7;0,3;0,412;0,2;0,75
Justinian Jessup;18,1;6,4;1,8;0,6;0,419;0,235;1,0
Justise Winslow;26,8;6,8;5,0;3,4;0,409;0,311;0,714
Jusuf Nurkić;26,8;13,3;9,1;2,9;0,519;0,361;0,661
KJ Martin;28,0;12,7;5,5;1,5;0,569;0,315;0,68
KZ Okpala;7,1;1,3;1,0;0,4;0,421;0,333;0,875
Kahlil Whitney;11,7;4,0;1,5;0,0;0,333;0,0;1,0
Kai Jones;12,7;3,9;3,0;0,4;0,525;0,143;0,73
Kaiser Gates;16,4;3,6;2,4;0,4;0,294;0,231;0,833
Kalob Ledoux;13,1;2,3;3,0;1,7;0,273;0,25;0,0
Kameron McGusty;13,6;5,5;2,5;0,5;0,4;0,286;0,8
Kameron Taylor;17,2;5,8;3,0;1,6;0,423;0,3;0,571
Karim Jallow;9,4;1,0;1,6;0,2;0,071;0,0;0,75
Karl-Anthony Towns;33,0;20,8;8,1;4,8;0,495;0,366;0,874
Karlo Matković;17,0;4,0;5,0;1,0;0,5;0,0;1,0
Kawhi Leonard;33,6;23,8;6,5;3,9;0,512;0,416;0,871
Keaton Wallace;15,3;2,4;1,4;1,0;0,091;0,0;0,909
Keegan Murray;29,9;13,0;4,9;1,2;0,459;0,411;0,788
Keita Bates-Diop;21,7;9,7;3,7;1,5;0,508;0,394;0,793
Keldon Johnson;32,8;22,0;5,0;2,9;0,452;0,329;0,749
Kellan Grady;15,7;5,5;1,3;1,3;0,345;0,143;0,0
Kelly Olynyk;28,6;12,5;6,2;3,7;0,499;0,394;0,853
Kelly Oubre Jr,;32,2;20,3;5,2;1,1;0,431;0,319;0,76
Kemba Walker;16,0;8,0;1,8;2,1;0,421;0,25;0,81
Kendall Brown;13,2;5,1;2,3;1,1;0,511;0,286;0,462
Kendrick Nunn;13,8;7,1;1,6;1,3;0,424;0,354;0,854
Kennedy Chandler;10,5;3,3;1,4;2,1;0,384;0,143;0,593
Kenneth Lofton Jr,;10,4;7,2;3,1;1,1;0,545;0,324;0,66
Kenrich Williams;22,8;8,0;4,9;2,0;0,517;0,373;0,436
Kentavious Caldwell-Pope;31,3;10,8;2,7;2,4;0,462;0,423;0,824
Keon Ellis;11,6;4,5;1,4;1,3;0,44;0,457;0,773
Keon Johnson;12,7;5,8;1,4;1,5;0,393;0,343;0,667
Kessler Edwards;10,7;2,8;1,7;0,6;0,387;0,309;0,733
Kessler Edwards;25,8;10,2;4,0;0,8;0,435;0,474;0,5
Kevarrius Hayes;10,7;2,5;2,0;0,0;0,25;0,0;0,6
Keve Aluma;8,5;2,0;1,5;0,0;0,6;0,667;0,0
Kevin Durant;35,6;29,1;6,7;5,0;0,56;0,404;0,919
Kevin Huerter;29,4;15,2;3,3;2,9;0,485;0,402;0,725
Kevin Kangu;23,8;3,0;1,0;0,0;0,1;0,2;0,0
Kevin Knox II;15,1;6,6;2,8;0,5;0,458;0,349;0,767
Kevin Love;20,0;8,2;6,4;1,9;0,389;0,334;0,879
Kevin Porter Jr,;34,3;19,2;5,3;5,7;0,442;0,366;0,784
Kevin Zhang;5,7;4,3;0,5;0,3;0,364;0,5;0,8
Kevon Harris;13,4;4,1;2,1;0,5;0,439;0,372;0,756
Kevon Harris;27,1;15,8;2,8;2,0;0,577;0,458;0,727
Kevon Looney;23,9;7,0;9,3;2,5;0,63;0,0;0,606
Khem Birch;8,1;2,2;1,3;0,4;0,594;0,5;0,8
Khris Middleton;24,3;15,1;4,2;4,9;0,436;0,315;0,902
Killian Hayes;28,3;10,3;2,9;6,2;0,377;0,28;0,817
Kira Lewis Jr,;9,4;4,6;1,3;0,9;0,455;0,441;0,864
Klay Thompson;33,0;21,9;4,1;2,4;0,436;0,412;0,879
Kobi Simmons;5,6;1,0;0,8;1,0;0,167;0,2;1,0
Kofi Cockburn;18,1;7,0;8,0;0,8;0,543;0,0;0,444
Kris Dunn;25,8;13,2;4,5;5,6;0,537;0,472;0,774
Kristaps Porziņģis;32,6;23,2;8,4;2,7;0,498;0,385;0,851
Kwan Cheatham Jr,;17,7;6,0;2,5;1,0;0,333;0,182;0,0
Ky Bowman;17,6;8,3;2,0;1,0;0,474;0,556;0,667
Kyle Alexander;16,4;7,5;5,0;0,8;0,765;0,0;0,8
Kyle Allman Jr,;23,9;11,1;3,5;4,0;0,35;0,29;0,706
Kyle Anderson;28,4;9,4;5,3;4,9;0,509;0,41;0,735
Kyle Foster;13,8;4,0;1,3;1,3;0,333;0,4;0,0
Kyle Kuzma;35,0;21,2;7,2;3,7;0,448;0,333;0,73
Kyle Lowry;31,2;11,2;4,1;5,1;0,404;0,345;0,859
Kyler Edwards;8,6;2,3;1,8;0,5;0,5;0,5;1,0
Kyrie Irving;37,3;27,1;5,1;5,5;0,494;0,379;0,905
LJ Figueroa;23,7;8,8;4,4;2,8;0,692;0,545;0,667
LaMelo Ball;35,2;23,3;6,4;8,4;0,411;0,376;0,843
Lamar Stevens;18,1;5,3;3,3;0,5;0,448;0,316;0,702
Landry Shamet;20,2;8,7;1,7;2,3;0,377;0,377;0,882
Larry Nance Jr,;21,2;6,8;5,4;1,8;0,61;0,333;0,696
Lauri Markkanen;34,4;25,6;8,6;1,9;0,499;0,391;0,875
LeBron James;35,5;28,9;8,3;6,8;0,5;0,321;0,768
Leandro Bolmaro;10,7;2,9;1,3;0,9;0,277;0,2;0,571
Leonardo Meindl;12,8;5,6;2,8;0,6;0,391;0,364;0,857
Lester Quinones;13,8;3,9;2,9;0,6;0,355;0,35;0,75
Lester Quinones;24,2;9,7;4,7;0,0;0,37;0,357;0,667
LiAngelo Ball;11,5;6,0;2,0;0,7;0,444;0,182;0,0
Lindell Wigginton;17,7;11,8;1,6;3,1;0,516;0,409;0,763
Lindy Waters III;13,0;5,3;1,8;0,7;0,39;0,355;0,808
Lonnie Walker IV;23,2;11,7;1,9;1,1;0,448;0,365;0,858
Louis King;23,7;13,4;5,4;1,6;0,373;0,258;0,75
Louis King;28,8;20,0;4,0;2,0;0,615;0,5;0,0
Luca Vildoza;15,8;6,0;2,3;1,7;0,353;0,222;1,0
Lucas Williamson;3,5;1,5;0,0;0,5;0,25;0,333;0,0
Luguentz Dort;30,7;13,7;4,6;2,1;0,388;0,33;0,772
Luka Dončić;36,2;32,4;8,6;8,0;0,496;0,342;0,742
Luka Garza;8,7;6,5;2,3;0,6;0,543;0,359;0,788
Luka Garza;14,2;6,5;3,8;0,0;0,421;0,5;0,889
Luka Samanic;23,0;9,9;4,3;2,1;0,456;0,258;0,692
Luke Kennard;22,3;9,3;2,7;1,5;0,492;0,494;0,949
Luke Kornet;11,7;3,8;2,9;0,8;0,665;0,231;0,821
Luke Travers;23,5;6,6;4,6;1,8;0,48;0,25;0,545
M,J, Walker Jr,;4,7;2,0;1,0;0,3;0,6;0,0;0,0
Mac McClung;24,4;13,4;3,6;4,8;0,456;0,5;0,818
Mac McClung;20,5;12,5;5,0;4,5;0,45;0,364;0,6
Mac McClung;17,2;13,0;3,5;1,5;0,643;0,0;0,727
Makur Maker;12,0;7,2;3,4;0,4;0,526;0,444;0,667
Malachi Flynn;13,0;4,6;1,4;1,3;0,36;0,353;0,758
Malaki Branham;23,8;10,6;2,8;1,9;0,439;0,313;0,815
Malcolm Brogdon;26,0;14,9;4,2;3,7;0,484;0,444;0,87
Malcolm Hill;13,4;7,0;2,2;0,6;0,468;0,455;0,889
Malik Beasley;25,8;12,7;3,5;1,5;0,395;0,357;0,769
Malik Ellison;19,1;7,0;3,8;1,0;0,625;0,0;1,0
Malik Monk;22,3;13,5;2,6;3,9;0,448;0,359;0,889
Malik Osborne;10,5;6,5;2,8;0,0;0,818;0,667;1,0
Mamadi Diakite;8,0;2,6;1,4;0,4;0,48;0,333;1,0
Manny Camper;10,7;0,0;3,5;1,0;0,0;0,0;0,0
MarJon Beauchamp;14,6;5,8;2,3;0,8;0,4;0,349;0,702
Marcus Bingham Jr,;15,8;5,4;4,2;0,6;0,333;0,154;0,7
Marcus Burk;10,9;3,0;1,0;0,0;0,3;0,0;0,0
Marcus Garrett;24,4;7,3;4,3;1,3;0,316;0,25;0,563
Marcus Georges-Hunt;18,7;3,3;2,5;0,8;0,294;0,0;0,75
Marcus Graves;8,5;3,0;2,0;1,5;0,5;0,0;1,0
Marcus Morris Sr,;28,1;11,2;4,0;1,8;0,426;0,365;0,782
Marcus Smart;32,1;11,5;3,1;6,3;0,415;0,336;0,746
Marial Shayok;21,4;7,0;3,8;4,5;0,346;0,091;1,0
Mark Williams;19,3;8,8;7,1;0,5;0,614;0,0;0,689
Markelle Fultz;29,6;14,0;3,9;5,7;0,514;0,31;0,783
Markieff Morris;10,1;3,8;2,0;0,9;0,409;0,394;1,0
Marko Simonovic;11,8;7,0;3,8;0,8;0,485;0,133;0,75
Marvin Bagley III;23,6;12,0;6,4;0,9;0,529;0,288;0,75
Mason Jones;22,0;9,6;3,4;3,1;0,381;0,346;0,87
Mason Plumlee;26,0;10,8;8,9;3,1;0,68;0,0;0,636
Matisse Thybulle;16,9;4,1;2,0;0,7;0,435;0,365;0,679
Matt Coleman III;15,8;5,9;1,9;2,7;0,485;0,375;0,6
Matt Hurt;10,1;4,3;2,3;0,0;0,556;0,429;0,0
Matt Lewis;20,6;9,2;2,8;1,0;0,381;0,261;0,667
Matt Mitchell;22,2;9,5;3,5;1,8;0,387;0,444;0,857
Matt Ryan;9,1;3,6;0,8;0,5;0,37;0,381;0,833
Matt Ryan;22,9;19,0;1,5;0,5;0,55;0,526;1,0
Matteo Spagnolo;15,5;3,2;1,4;1,8;0,304;0,111;0,5
Matthew Dellavedova;6,6;1,5;0,4;1,3;0,34;0,333;0,571
Max Christie;14,3;3,8;2,4;0,7;0,36;0,356;0,842
Max Strus;28,4;11,5;3,2;2,1;0,41;0,35;0,876
Maxi Kleber;25,1;5,9;3,6;1,4;0,456;0,348;0,711
Mbaye N'Diaye;11,3;5,5;2,0;1,0;0,5;1,0;0,4
McKinley Wright IV;12,4;4,2;1,7;2,1;0,469;0,321;0,684
McKinley Wright IV;23,9;8,4;4,6;5,6;0,389;0,333;0,688
Melvin Frazier Jr,;12,5;3,0;1,7;0,7;0,429;0,0;1,0
Meyers Leonard;12,6;4,8;3,8;0,1;0,483;0,389;0,889
Mfiondu Kabengele;17,7;8,9;5,7;1,3;0,547;0,333;0,8
Micah Potter;7,5;3,4;2,3;0,6;0,667;0,571;0,0
Micah Potter;11,2;5,6;2,8;0,6;0,591;0,0;0,5
Michael Carter-Williams;11,1;4,3;1,3;1,8;0,429;0,333;0,571
Michael Devoe;11,5;3,3;0,5;0,8;0,267;0,167;0,667
Michael Foster Jr,;13,0;5,1;4,1;0,1;0,444;0,333;0,538
Michael Porter Jr,;29,0;17,4;5,5;1,0;0,487;0,414;0,8
Mikal Bridges;35,7;20,1;4,4;3,3;0,468;0,382;0,895
Mike Conley;30,3;11,9;2,7;6,7;0,428;0,385;0,834
Mike Muscala;15,0;6,1;3,2;0,8;0,449;0,391;0,769
Miles McBride;13,1;4,4;1,0;1,4;0,387;0,309;0,754
Mitchell Robinson;26,9;7,4;9,4;0,9;0,671;0,0;0,484
Miye Oni;17,4;2,4;2,0;1,2;0,167;0,188;0,5
Mo Bamba;15,7;6,6;4,6;0,9;0,485;0,387;0,661
Montrezl Harrell;11,9;5,6;2,8;0,6;0,598;0,0;0,693
Monté Morris;27,4;10,3;3,4;5,3;0,48;0,382;0,831
Moritz Wagner;19,5;10,5;4,5;1,5;0,5;0,313;0,841
Moses Brown;8,2;4,3;3,9;0,1;0,635;0,0;0,458
Moses Moody;13,9;5,7;1,7;0,9;0,456;0,348;0,759
Moses Wright;19,0;15,5;6,8;1,5;0,525;0,375;0,773
Moussa Diabaté;10,2;3,3;2,7;0,2;0,544;0,667;0,56
Mychal Mulder;23,6;10,7;2,5;0,5;0,333;0,302;0,818
Myles Powell;12,4;7,0;1,3;2,0;0,318;0,333;0,75
Myles Turner;29,4;18,0;7,5;1,4;0,548;0,373;0,783
Naji Marshall;23,4;9,1;3,6;2,5;0,427;0,295;0,787
Nassir Little;18,1;6,6;2,6;0,9;0,442;0,367;0,717
Nate Hinton;13,7;5,0;3,5;2,0;0,381;0,167;0,429
Nate Pierre-Louis;16,1;4,4;4,1;1,3;0,464;0,333;0,429
Nate Reuvers;11,6;3,5;2,5;0,5;0,3;0,0;0,5
Nate Sestina;15,7;4,1;3,0;1,4;0,385;0,231;0,75
Nate Williams;25,3;10,6;3,0;2,0;0,615;0,375;0,667
Nathan Knight;7,7;3,7;1,5;0,3;0,568;0,364;0,684
Naz Reid;18,4;11,5;4,9;1,1;0,537;0,346;0,677
Neemias Queta;16,4;8,3;4,8;0,9;0,612;1,0;0,516
Nerlens Noel;11,5;2,1;2,7;0,6;0,361;0,5;0,667
Nic Claxton;29,9;12,6;9,2;1,9;0,705;0,0;0,541
Nick Richards;18,9;8,4;6,5;0,6;0,629;1,0;0,749
Nickeil Alexander-Walker;15,0;6,2;1,7;1,8;0,444;0,384;0,667
Nicolas Batum;21,9;6,1;3,8;1,6;0,42;0,391;0,708
Nikola Jokić;33,7;24,5;11,8;9,8;0,632;0,383;0,822
Nikola Jović;14,9;6,1;2,7;0,6;0,41;0,286;0,87
Nikola Vučević;33,5;17,6;11,0;3,2;0,52;0,349;0,835
Noah Kirkwood;10,9;4,0;1,5;0,8;0,6;0,571;0,0
Noah Vonleh;7,5;1,1;2,1;0,3;0,458;0,25;1,0
Norman Powell;26,1;17,0;2,9;1,8;0,479;0,397;0,812
OG Anunoby;35,6;16,8;5,0;2,0;0,476;0,387;0,838
Obi Toppin;15,7;7,4;2,8;1,0;0,446;0,344;0,809
Ochai Agbaji;20,5;7,9;2,1;1,1;0,427;0,355;0,812
Ochai Agbaji;31,0;15,0;4,8;2,3;0,373;0,375;0,909
Olivier Sarr;12,6;4,0;3,4;0,4;0,5;0,125;0,714
Olivier Sarr;14,2;8,0;8,0;1,0;0,533;0,0;0,8
Omer Yurtseven;9,2;4,4;2,6;0,2;0,593;0,429;0,833
Onyeka Okongwu;23,1;9,9;7,2;1,0;0,638;0,308;0,781
Orlando Robinson;15,3;4,7;4,7;0,8;0,504;0,083;0,745
Oshae Brissett;16,7;6,1;3,4;0,7;0,386;0,31;0,717
Otto Porter Jr,;18,3;5,5;2,4;1,0;0,5;0,353;1,0
Ousmane Dieng;15,5;5,4;2,9;1,2;0,403;0,252;0,625
P,J, Tucker;25,6;3,5;3,9;0,8;0,427;0,393;0,826
P,J, Washington;32,6;15,7;4,9;2,4;0,444;0,348;0,73
PJ Dozier;5,0;1,4;0,9;0,6;0,303;0,125;0,0
Paolo Banchero;33,6;20,0;6,9;3,8;0,426;0,301;0,74
Paris Bass;16,2;8,1;3,1;0,4;0,431;0,2;0,684
Pascal Siakam;37,4;24,2;7,8;5,8;0,48;0,324;0,774
Pat Connaughton;23,7;7,6;4,6;1,3;0,392;0,339;0,659
Pat Spencer;13,1;6,0;3,8;4,0;0,474;0,2;0,714
Patrick Baldwin Jr,;7,3;3,9;1,3;0,4;0,394;0,381;0,667
Patrick Beverley;27,1;6,2;3,7;2,9;0,4;0,335;0,723
Patrick Williams;28,3;10,2;4,0;1,2;0,464;0,415;0,857
Patty Mills;14,2;6,2;1,1;1,4;0,411;0,366;0,833
Paul George;34,6;23,8;6,1;5,1;0,457;0,371;0,871
Paul Reed;11,5;4,5;4,0;0,4;0,585;0,273;0,746
Payton Pritchard;13,4;5,6;1,8;1,3;0,412;0,364;0,75
Payton Willis;18,1;4,7;1,7;0,6;0,462;0,412;0,4
Perrion Callandret;6,3;0,0;0,5;0,5;0,0;0,0;0,0
Peyton Watson;11,0;4,2;2,3;0,6;0,405;0,258;0,484
Pierria Henry;14,7;2,5;1,8;3,8;0,273;0,25;1,0
Precious Achiuwa;20,7;9,2;6,0;0,9;0,485;0,269;0,702
Quentin Grimes;29,9;12,0;3,3;2,2;0,462;0,377;0,767
Quenton Jackson;14,4;7,2;0,8;1,4;0,492;0,133;0,844
Quinndary Weatherspoon;25,5;10,8;4,2;1,4;0,543;0,3;0,929
Quinton Rose;3,9;1,3;1,3;0,0;0,167;0,0;0,667
R,J, Cole;13,1;3,4;1,8;1,2;0,353;0,333;1,0
R,J, Hampton;15,9;6,4;1,9;1,1;0,43;0,353;0,75
R,J, Hampton;28,6;12,0;7,5;2,0;0,4;0,0;0,667
RJ Barrett;33,9;19,6;5,0;2,8;0,434;0,31;0,74
RaiQuan Gray;26,6;8,5;7,8;2,7;0,405;0,313;0,857
Raul Neto;10,5;3,3;1,0;1,6;0,518;0,286;0,912
Rayjon Tucker;19,1;6,0;3,6;2,8;0,429;0,417;1,0
Reggie Bullock Jr,;30,3;7,2;3,6;1,4;0,409;0,38;0,703
Reggie Jackson;24,4;10,2;2,1;3,4;0,411;0,333;0,91
Reggie Perry;17,9;11,4;4,4;0,6;0,463;0,5;0,867
Richaun Holmes;8,3;3,1;1,9;0,2;0,618;0,625;0,789
Ricky Rubio;17,2;5,2;2,1;3,5;0,343;0,256;0,8
Robert Baker;21,9;9,0;3,0;0,0;0,375;0,5;0,5
Robert Covington;16,2;6,0;3,5;1,2;0,445;0,397;0,75
Robert Franks;8,9;2,5;0,5;0,3;0,429;0,333;1,0
Robert Williams III;23,5;8,0;8,3;1,4;0,747;0,0;0,61
Robert Woodard II;18,8;5,4;6,4;0,8;0,243;0,077;0,571
Robin Lopez;8,1;3,0;1,4;0,5;0,64;0,5;0,778
Rodions Kurucs;21,7;5,8;4,5;1,8;0,476;0,167;0,667
Rodney McGruder;16,4;5,7;2,3;0,9;0,408;0,423;0,818
Romeo Langford;19,6;6,9;2,7;1,2;0,467;0,262;0,696
Romeo Weems;13,5;3,6;2,8;0,4;0,278;0,333;0,833
Ron Harper Jr,;12,0;4,7;2,3;0,4;0,426;0,25;0,923
Ronaldo Segu;9,3;6,8;1,0;1,5;0,478;0,25;0,667
Royce O'Neale;31,7;8,8;5,1;3,7;0,386;0,389;0,725
Ruben Nembhard Jr,;27,9;14,8;4,0;4,2;0,475;0,364;0,75
Rudy Gay;14,6;5,2;2,9;1,0;0,38;0,254;0,857
Rudy Gobert;30,7;13,4;11,6;1,2;0,659;0,0;0,644
Rui Hachimura;23,3;11,2;4,5;0,9;0,486;0,319;0,739
Russell Westbrook;29,1;15,9;5,8;7,5;0,436;0,311;0,656
Ryan Arcidiacono;8,6;1,3;0,8;1,2;0,243;0,348;0,0
Ryan Hawkins;14,4;7,7;3,3;0,3;0,381;0,353;1,0
Ryan Hawkins;12,7;3,0;2,0;0,0;0,25;0,25;0,0
Ryan Rollins;5,2;1,9;1,0;0,5;0,35;0,333;1,0
Saben Lee;14,9;6,0;1,8;2,7;0,405;0,367;0,737
Saben Lee;24,9;12,0;1,5;3,5;0,308;0,333;0,824
Sacha Killeya-Jones;19,1;6,8;5,0;1,3;0,463;0,333;0,0
Saddiq Bey;27,6;13,8;4,7;1,5;0,422;0,361;0,861
Sam Hauser;16,3;6,5;2,5;0,9;0,446;0,41;0,75
Sam Merrill;11,7;5,0;1,8;1,0;0,409;0,278;1,0
Sandro Mamukelashvili;15,3;6,1;4,3;1,4;0,422;0,303;0,684
Sandro Mamukelashvili;27,9;17,0;8,8;2,4;0,45;0,476;0,7
Santi Aldama;22,1;9,5;5,0;1,3;0,482;0,357;0,744
Sasha Stefanovic;16,2;3,0;1,0;4,0;0,167;0,25;0,0
Scottie Barnes;34,8;15,3;6,6;4,8;0,456;0,281;0,772
Scotty Pippen Jr,;15,0;7,6;2,4;2,9;0,351;0,219;0,727
Sean McDermott;11,8;5,7;1,1;0,7;0,519;0,421;1,0
Selom Mawugbe;14,1;0,5;3,5;0,5;0,0;0,0;0,5
Serge Ibaka;11,6;4,1;2,8;0,3;0,481;0,333;0,615
Seth Curry;19,8;9,2;1,6;1,6;0,463;0,405;0,927
Shaedon Sharpe;22,0;9,8;2,9;1,2;0,472;0,358;0,714
Shai Gilgeous-Alexander;35,5;31,4;4,8;5,5;0,51;0,345;0,905
Shake Milton;20,6;8,4;2,5;3,2;0,479;0,378;0,853
Shaq Buchanan;16,2;5,2;3,2;1,8;0,314;0,25;1,0
Shaquille Harrison;24,0;8,8;4,4;6,0;0,417;0,3;0,733
Shareef O'Neal;10,9;4,7;3,7;0,3;0,478;0,0;0,6
Sharife Cooper;20,9;4,4;1,2;4,2;0,189;0,182;0,667
Simisola Shittu;11,6;4,6;4,8;0,4;0,55;0,0;0,143
Simone Fontecchio;14,7;6,3;1,7;0,8;0,369;0,33;0,795
