Ime igralca;Minut/tekmo;Točke;Skoki;Podaje;FG%;FG3%;FT%
Bruce Brown;28,5;11,5;4,1;3,4;0,483;0,358;0,758
Bruno Caboclo;22,1;12,0;6,4;1,0;0,605;0,3;0,786
Bruno Fernando;10,4;3,9;3,5;0,8;0,527;0,0;0,7
Bryce Hamilton;14,9;3,4;2,6;0,1;0,375;0,0;0,5
Bryce McGowens;18,4;6,3;2,2;1,3;0,382;0,352;0,748
Bryce Wills;12,9;5,3;1,7;2,7;0,357;0,5;0,75
Bryn Forbes;10,7;3,6;0,6;0,7;0,361;0,304;1,0
Bryson Williams;14,3;5,2;3,2;0,8;0,391;0,0;0,667
Buddy Boeheim;12,5;3,4;1,1;0,5;0,298;0,234;1,0
Buddy Hield;31,0;16,8;5,0;2,8;0,458;0,425;0,822
CJ McCollum;35,3;20,9;4,4;5,7;0,437;0,389;0,769
Cade Cunningham;33,3;19,9;6,2;6,0;0,415;0,279;0,837
Caleb Homesley;26,3;7,5;2,8;2,3;0,344;0,304;0,5
Caleb Houstan;16,9;4,1;2,1;0,6;0,356;0,323;0,842
Caleb Martin;29,3;9,6;4,8;1,6;0,464;0,356;0,805
Cam Reddish;24,7;9,7;2,2;1,4;0,446;0,313;0,853
Cam Reynolds;19,4;9,8;3,2;1,2;0,436;0,407;1,0
Cam Thomas;17,7;12,0;1,7;1,6;0,441;0,368;0,868
Cameron Johnson;28,6;15,5;4,4;1,9;0,47;0,404;0,842
Cameron Payne;20,2;10,3;2,2;4,5;0,415;0,368;0,766
Cameron Young;22,8;13,4;2,0;0,4;0,34;0,231;0,871
Caris LeVert;30,2;12,1;3,8;3,9;0,431;0,392;0,722
Carlik Jones;15,0;6,8;1,6;3,1;0,509;0,583;0,762
Cassius Winston;26,4;9,8;2,8;7,0;0,5;0,25;0,9
Cedi Osman;20,1;8,7;2,3;1,5;0,451;0,372;0,694
Chance Comanche;20,8;7,0;3,0;0,0;0,6;0,0;0,25
Chandler Hutchison;16,7;6,5;2,3;1,0;0,462;0,0;0,824
Charles Bassey;14,5;5,7;5,5;1,4;0,644;0,375;0,595
Charles Bassey;20,7;7,8;6,0;0,3;0,463;0,2;0,8
Charlie Brown Jr,;22,7;11,4;4,4;1,4;0,393;0,296;0,889
Charlie Moore;22,7;9,3;2,8;6,8;0,441;0,467;0,0
Chaundee Brown Jr,;23,4;14,4;3,6;1,0;0,456;0,4;1,0
Chet Holmgren;26,2;14,0;8,4;2,8;0,479;0,421;0,941
Chima Moneke;4,0;1,0;1,0;0,5;0,5;0,0;0,0
Chimezie Metu;10,4;4,9;3,0;0,6;0,589;0,237;0,74
Chris Boucher;20,0;9,4;5,5;0,4;0,493;0,328;0,762
Chris Clemons;16,2;8,3;2,0;2,0;0,414;0,286;1,0
